Vendor,GRAPHTEC Corporation
Model,"GL980"
Version,"Ver1.38"
MaxCH,8
Logic/Pulse,Off
Sampling interval,1s
Total Data Points,3640      
Trigger,0         
Start time,2025-02-20,16:09:51
End time,2025-02-20,17:10:30
Trigger time,2025-02-20,16:09:51
AMP settings
CH,SignalName,Amp,Input,Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH1,"V_batt",M,DC,10V,50KHz,+5.000,-5.000, V,28,5,6,0
CH2,"I_batt",M,DC,10V,50KHz,+5.000,-5.000, V,0,13,23,0
CH,SignalName,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date,Time,ms,CH1,CH2,Alarm1-8,AlarmOut
NO.,Date,Time,ms," V"," V","A12345678","AO1234"
1,2025-02-20,16:09:51,0,+4.221,-0.002,LLLLLLLL,LLLL
2,2025-02-20,16:09:52,0,+4.220,+0.000,LLLLLLLL,LLLL
3,2025-02-20,16:09:53,0,+4.221,+0.002,LLLLLLLL,LLLL
4,2025-02-20,16:09:54,0,+4.221,-0.001,LLLLLLLL,LLLL
5,2025-02-20,16:09:55,0,+4.223,+0.001,LLLLLLLL,LLLL
6,2025-02-20,16:09:56,0,+4.221,+0.001,LLLLLLLL,LLLL
7,2025-02-20,16:09:57,0,+4.221,+0.001,LLLLLLLL,LLLL
8,2025-02-20,16:09:58,0,+4.223,+0.001,LLLLLLLL,LLLL
9,2025-02-20,16:09:59,0,+4.221,+0.001,LLLLLLLL,LLLL
10,2025-02-20,16:10:00,0,+4.221,+0.001,LLLLLLLL,LLLL
11,2025-02-20,16:10:01,0,+4.220,-0.002,LLLLLLLL,LLLL
12,2025-02-20,16:10:02,0,+4.219,+0.001,LLLLLLLL,LLLL
13,2025-02-20,16:10:03,0,+4.221,-0.001,LLLLLLLL,LLLL
14,2025-02-20,16:10:04,0,+4.221,+0.002,LLLLLLLL,LLLL
15,2025-02-20,16:10:05,0,+4.223,-0.001,LLLLLLLL,LLLL
16,2025-02-20,16:10:06,0,+4.218,-0.002,LLLLLLLL,LLLL
17,2025-02-20,16:10:07,0,+4.223,-0.001,LLLLLLLL,LLLL
18,2025-02-20,16:10:08,0,+4.220,-0.001,LLLLLLLL,LLLL
19,2025-02-20,16:10:09,0,+4.223,+0.001,LLLLLLLL,LLLL
20,2025-02-20,16:10:10,0,+4.221,+0.002,LLLLLLLL,LLLL
21,2025-02-20,16:10:11,0,+4.220,+0.001,LLLLLLLL,LLLL
22,2025-02-20,16:10:12,0,+4.221,-0.001,LLLLLLLL,LLLL
23,2025-02-20,16:10:13,0,+4.221,+0.002,LLLLLLLL,LLLL
24,2025-02-20,16:10:14,0,+4.220,+0.001,LLLLLLLL,LLLL
25,2025-02-20,16:10:15,0,+4.223,+0.001,LLLLLLLL,LLLL
26,2025-02-20,16:10:16,0,+4.218,+0.001,LLLLLLLL,LLLL
27,2025-02-20,16:10:17,0,+4.220,-0.001,LLLLLLLL,LLLL
28,2025-02-20,16:10:18,0,+4.221,+0.002,LLLLLLLL,LLLL
29,2025-02-20,16:10:19,0,+4.223,-0.001,LLLLLLLL,LLLL
30,2025-02-20,16:10:20,0,+4.221,+0.000,LLLLLLLL,LLLL
31,2025-02-20,16:10:21,0,+4.221,-0.001,LLLLLLLL,LLLL
32,2025-02-20,16:10:22,0,+4.220,+0.001,LLLLLLLL,LLLL
33,2025-02-20,16:10:23,0,+4.220,-0.001,LLLLLLLL,LLLL
34,2025-02-20,16:10:24,0,+4.220,+0.002,LLLLLLLL,LLLL
35,2025-02-20,16:10:25,0,+4.224,+0.003,LLLLLLLL,LLLL
36,2025-02-20,16:10:26,0,+4.221,+0.003,LLLLLLLL,LLLL
37,2025-02-20,16:10:27,0,+4.221,-0.002,LLLLLLLL,LLLL
38,2025-02-20,16:10:28,0,+4.220,+0.003,LLLLLLLL,LLLL
39,2025-02-20,16:10:29,0,+4.223,+0.001,LLLLLLLL,LLLL
40,2025-02-20,16:10:30,0,+4.221,+0.001,LLLLLLLL,LLLL
41,2025-02-20,16:10:31,0,+4.221,+0.003,LLLLLLLL,LLLL
42,2025-02-20,16:10:32,0,+4.223,+0.002,LLLLLLLL,LLLL
43,2025-02-20,16:10:33,0,+4.218,-0.002,LLLLLLLL,LLLL
44,2025-02-20,16:10:34,0,+4.221,-0.001,LLLLLLLL,LLLL
45,2025-02-20,16:10:35,0,+4.220,+0.001,LLLLLLLL,LLLL
46,2025-02-20,16:10:36,0,+4.221,+0.001,LLLLLLLL,LLLL
47,2025-02-20,16:10:37,0,+4.221,+0.001,LLLLLLLL,LLLL
48,2025-02-20,16:10:38,0,+4.221,+0.002,LLLLLLLL,LLLL
49,2025-02-20,16:10:39,0,+4.221,+0.003,LLLLLLLL,LLLL
50,2025-02-20,16:10:40,0,+4.221,+0.002,LLLLLLLL,LLLL
51,2025-02-20,16:10:41,0,+4.221,+0.001,LLLLLLLL,LLLL
52,2025-02-20,16:10:42,0,+4.221,+0.001,LLLLLLLL,LLLL
53,2025-02-20,16:10:43,0,+4.221,+0.004,LLLLLLLL,LLLL
54,2025-02-20,16:10:44,0,+4.221,-0.001,LLLLLLLL,LLLL
55,2025-02-20,16:10:45,0,+4.220,+0.000,LLLLLLLL,LLLL
56,2025-02-20,16:10:46,0,+4.222,+0.002,LLLLLLLL,LLLL
57,2025-02-20,16:10:47,0,+4.223,+0.001,LLLLLLLL,LLLL
58,2025-02-20,16:10:48,0,+4.221,+0.004,LLLLLLLL,LLLL
59,2025-02-20,16:10:49,0,+4.220,+0.002,LLLLLLLL,LLLL
60,2025-02-20,16:10:50,0,+4.219,+0.002,LLLLLLLL,LLLL
61,2025-02-20,16:10:51,0,+4.220,+0.001,LLLLLLLL,LLLL
62,2025-02-20,16:10:52,0,+4.221,+0.001,LLLLLLLL,LLLL
63,2025-02-20,16:10:53,0,+4.223,+0.004,LLLLLLLL,LLLL
64,2025-02-20,16:10:54,0,+4.220,+0.001,LLLLLLLL,LLLL
65,2025-02-20,16:10:55,0,+4.221,+0.002,LLLLLLLL,LLLL
66,2025-02-20,16:10:56,0,+4.221,+0.004,LLLLLLLL,LLLL
67,2025-02-20,16:10:57,0,+4.218,+0.000,LLLLLLLL,LLLL
68,2025-02-20,16:10:58,0,+4.221,-0.002,LLLLLLLL,LLLL
69,2025-02-20,16:10:59,0,+4.221,+0.002,LLLLLLLL,LLLL
70,2025-02-20,16:11:00,0,+4.221,-0.001,LLLLLLLL,LLLL
71,2025-02-20,16:11:01,0,+4.219,+0.002,LLLLLLLL,LLLL
72,2025-02-20,16:11:02,0,+4.222,-0.001,LLLLLLLL,LLLL
73,2025-02-20,16:11:03,0,+4.221,-0.001,LLLLLLLL,LLLL
74,2025-02-20,16:11:04,0,+4.220,-0.001,LLLLLLLL,LLLL
75,2025-02-20,16:11:05,0,+4.221,+0.001,LLLLLLLL,LLLL
76,2025-02-20,16:11:06,0,+4.222,+0.000,LLLLLLLL,LLLL
77,2025-02-20,16:11:07,0,+4.219,+0.003,LLLLLLLL,LLLL
78,2025-02-20,16:11:08,0,+4.223,+0.002,LLLLLLLL,LLLL
79,2025-02-20,16:11:09,0,+4.221,+0.000,LLLLLLLL,LLLL
80,2025-02-20,16:11:10,0,+4.218,+0.002,LLLLLLLL,LLLL
81,2025-02-20,16:11:11,0,+4.221,+0.001,LLLLLLLL,LLLL
82,2025-02-20,16:11:12,0,+4.222,+0.003,LLLLLLLL,LLLL
83,2025-02-20,16:11:13,0,+4.221,-0.001,LLLLLLLL,LLLL
84,2025-02-20,16:11:14,0,+4.221,+0.002,LLLLLLLL,LLLL
85,2025-02-20,16:11:15,0,+4.221,+0.002,LLLLLLLL,LLLL
86,2025-02-20,16:11:16,0,+4.223,+0.003,LLLLLLLL,LLLL
87,2025-02-20,16:11:17,0,+4.219,+0.001,LLLLLLLL,LLLL
88,2025-02-20,16:11:18,0,+4.220,+0.001,LLLLLLLL,LLLL
89,2025-02-20,16:11:19,0,+4.221,+0.002,LLLLLLLL,LLLL
90,2025-02-20,16:11:20,0,+4.220,+0.001,LLLLLLLL,LLLL
91,2025-02-20,16:11:21,0,+4.220,+0.003,LLLLLLLL,LLLL
92,2025-02-20,16:11:22,0,+4.221,+0.004,LLLLLLLL,LLLL
93,2025-02-20,16:11:23,0,+4.223,+0.000,LLLLLLLL,LLLL
94,2025-02-20,16:11:24,0,+4.220,-0.001,LLLLLLLL,LLLL
95,2025-02-20,16:11:25,0,+4.221,+0.001,LLLLLLLL,LLLL
96,2025-02-20,16:11:26,0,+4.221,+0.003,LLLLLLLL,LLLL
97,2025-02-20,16:11:27,0,+4.221,+0.001,LLLLLLLL,LLLL
98,2025-02-20,16:11:28,0,+4.223,+0.002,LLLLLLLL,LLLL
99,2025-02-20,16:11:29,0,+4.220,+0.000,LLLLLLLL,LLLL
100,2025-02-20,16:11:30,0,+4.222,+0.002,LLLLLLLL,LLLL
101,2025-02-20,16:11:31,0,+4.219,+0.001,LLLLLLLL,LLLL
102,2025-02-20,16:11:32,0,+4.223,+0.001,LLLLLLLL,LLLL
103,2025-02-20,16:11:33,0,+4.221,+0.001,LLLLLLLL,LLLL
104,2025-02-20,16:11:34,0,+4.223,-0.001,LLLLLLLL,LLLL
105,2025-02-20,16:11:35,0,+4.221,+0.004,LLLLLLLL,LLLL
106,2025-02-20,16:11:36,0,+4.218,+0.002,LLLLLLLL,LLLL
107,2025-02-20,16:11:37,0,+4.221,+0.000,LLLLLLLL,LLLL
108,2025-02-20,16:11:38,0,+4.219,+0.002,LLLLLLLL,LLLL
109,2025-02-20,16:11:39,0,+4.221,+0.001,LLLLLLLL,LLLL
110,2025-02-20,16:11:40,0,+4.221,+0.002,LLLLLLLL,LLLL
111,2025-02-20,16:11:41,0,+4.221,+0.001,LLLLLLLL,LLLL
112,2025-02-20,16:11:42,0,+4.221,+0.001,LLLLLLLL,LLLL
113,2025-02-20,16:11:43,0,+4.220,-0.001,LLLLLLLL,LLLL
114,2025-02-20,16:11:44,0,+4.222,+0.004,LLLLLLLL,LLLL
115,2025-02-20,16:11:45,0,+4.220,+0.000,LLLLLLLL,LLLL
116,2025-02-20,16:11:46,0,+4.221,+0.004,LLLLLLLL,LLLL
117,2025-02-20,16:11:47,0,+4.219,+0.001,LLLLLLLL,LLLL
118,2025-02-20,16:11:48,0,+4.221,-0.001,LLLLLLLL,LLLL
119,2025-02-20,16:11:49,0,+4.218,-0.001,LLLLLLLL,LLLL
120,2025-02-20,16:11:50,0,+4.218,+0.002,LLLLLLLL,LLLL
121,2025-02-20,16:11:51,0,+4.221,+0.001,LLLLLLLL,LLLL
122,2025-02-20,16:11:52,0,+4.220,+0.001,LLLLLLLL,LLLL
123,2025-02-20,16:11:53,0,+4.221,+0.001,LLLLLLLL,LLLL
124,2025-02-20,16:11:54,0,+4.218,-0.001,LLLLLLLL,LLLL
125,2025-02-20,16:11:55,0,+4.220,+0.002,LLLLLLLL,LLLL
126,2025-02-20,16:11:56,0,+4.217,+0.000,LLLLLLLL,LLLL
127,2025-02-20,16:11:57,0,+4.221,+0.002,LLLLLLLL,LLLL
128,2025-02-20,16:11:58,0,+4.218,-0.002,LLLLLLLL,LLLL
129,2025-02-20,16:11:59,0,+4.220,+0.000,LLLLLLLL,LLLL
130,2025-02-20,16:12:00,0,+4.220,+0.000,LLLLLLLL,LLLL
131,2025-02-20,16:12:01,0,+4.219,-0.001,LLLLLLLL,LLLL
132,2025-02-20,16:12:02,0,+4.221,-0.001,LLLLLLLL,LLLL
133,2025-02-20,16:12:03,0,+4.221,+0.003,LLLLLLLL,LLLL
134,2025-02-20,16:12:04,0,+4.221,+0.001,LLLLLLLL,LLLL
135,2025-02-20,16:12:05,0,+4.221,+0.001,LLLLLLLL,LLLL
136,2025-02-20,16:12:06,0,+4.221,+0.000,LLLLLLLL,LLLL
137,2025-02-20,16:12:07,0,+4.220,-0.001,LLLLLLLL,LLLL
138,2025-02-20,16:12:08,0,+4.221,-0.002,LLLLLLLL,LLLL
139,2025-02-20,16:12:09,0,+4.221,-0.001,LLLLLLLL,LLLL
140,2025-02-20,16:12:10,0,+4.218,+0.001,LLLLLLLL,LLLL
141,2025-02-20,16:12:11,0,+4.220,-0.001,LLLLLLLL,LLLL
142,2025-02-20,16:12:12,0,+4.220,+0.000,LLLLLLLL,LLLL
143,2025-02-20,16:12:13,0,+4.218,+0.001,LLLLLLLL,LLLL
144,2025-02-20,16:12:14,0,+4.223,+0.001,LLLLLLLL,LLLL
145,2025-02-20,16:12:15,0,+4.218,-0.003,LLLLLLLL,LLLL
146,2025-02-20,16:12:16,0,+4.221,+0.001,LLLLLLLL,LLLL
147,2025-02-20,16:12:17,0,+4.221,-0.001,LLLLLLLL,LLLL
148,2025-02-20,16:12:18,0,+4.220,-0.001,LLLLLLLL,LLLL
149,2025-02-20,16:12:19,0,+4.218,+0.000,LLLLLLLL,LLLL
150,2025-02-20,16:12:20,0,+4.221,-0.001,LLLLLLLL,LLLL
151,2025-02-20,16:12:21,0,+4.221,+0.000,LLLLLLLL,LLLL
152,2025-02-20,16:12:22,0,+4.154,-0.458,LLLLLLLL,LLLL
153,2025-02-20,16:12:23,0,+4.146,-0.455,LLLLLLLL,LLLL
154,2025-02-20,16:12:24,0,+4.141,-0.459,LLLLLLLL,LLLL
155,2025-02-20,16:12:25,0,+4.139,-0.456,LLLLLLLL,LLLL
156,2025-02-20,16:12:26,0,+4.135,-0.454,LLLLLLLL,LLLL
157,2025-02-20,16:12:27,0,+4.135,-0.456,LLLLLLLL,LLLL
158,2025-02-20,16:12:28,0,+4.130,-0.457,LLLLLLLL,LLLL
159,2025-02-20,16:12:29,0,+4.130,-0.460,LLLLLLLL,LLLL
160,2025-02-20,16:12:30,0,+4.125,-0.458,LLLLLLLL,LLLL
161,2025-02-20,16:12:31,0,+4.122,-0.456,LLLLLLLL,LLLL
162,2025-02-20,16:12:32,0,+4.117,-0.457,LLLLLLLL,LLLL
163,2025-02-20,16:12:33,0,+4.119,-0.456,LLLLLLLL,LLLL
164,2025-02-20,16:12:34,0,+4.114,-0.456,LLLLLLLL,LLLL
165,2025-02-20,16:12:35,0,+4.114,-0.456,LLLLLLLL,LLLL
166,2025-02-20,16:12:36,0,+4.111,-0.457,LLLLLLLL,LLLL
167,2025-02-20,16:12:37,0,+4.109,-0.457,LLLLLLLL,LLLL
168,2025-02-20,16:12:38,0,+4.107,-0.454,LLLLLLLL,LLLL
169,2025-02-20,16:12:39,0,+4.105,-0.457,LLLLLLLL,LLLL
170,2025-02-20,16:12:40,0,+4.104,-0.457,LLLLLLLL,LLLL
171,2025-02-20,16:12:41,0,+4.103,-0.455,LLLLLLLL,LLLL
172,2025-02-20,16:12:42,0,+4.103,-0.455,LLLLLLLL,LLLL
173,2025-02-20,16:12:43,0,+4.099,-0.455,LLLLLLLL,LLLL
174,2025-02-20,16:12:44,0,+4.099,-0.457,LLLLLLLL,LLLL
175,2025-02-20,16:12:45,0,+4.097,-0.456,LLLLLLLL,LLLL
176,2025-02-20,16:12:46,0,+4.097,-0.458,LLLLLLLL,LLLL
177,2025-02-20,16:12:47,0,+4.095,-0.456,LLLLLLLL,LLLL
178,2025-02-20,16:12:48,0,+4.093,-0.455,LLLLLLLL,LLLL
179,2025-02-20,16:12:49,0,+4.093,-0.454,LLLLLLLL,LLLL
180,2025-02-20,16:12:50,0,+4.090,-0.456,LLLLLLLL,LLLL
181,2025-02-20,16:12:51,0,+4.090,-0.456,LLLLLLLL,LLLL
182,2025-02-20,16:12:52,0,+4.090,-0.455,LLLLLLLL,LLLL
183,2025-02-20,16:12:53,0,+4.088,-0.458,LLLLLLLL,LLLL
184,2025-02-20,16:12:54,0,+4.088,-0.455,LLLLLLLL,LLLL
185,2025-02-20,16:12:55,0,+4.085,-0.456,LLLLLLLL,LLLL
186,2025-02-20,16:12:56,0,+4.083,-0.456,LLLLLLLL,LLLL
187,2025-02-20,16:12:57,0,+4.083,-0.456,LLLLLLLL,LLLL
188,2025-02-20,16:12:58,0,+4.082,-0.459,LLLLLLLL,LLLL
189,2025-02-20,16:12:59,0,+4.082,-0.461,LLLLLLLL,LLLL
190,2025-02-20,16:13:00,0,+4.079,-0.461,LLLLLLLL,LLLL
191,2025-02-20,16:13:01,0,+4.078,-0.459,LLLLLLLL,LLLL
192,2025-02-20,16:13:02,0,+4.079,-0.457,LLLLLLLL,LLLL
193,2025-02-20,16:13:03,0,+4.076,-0.458,LLLLLLLL,LLLL
194,2025-02-20,16:13:04,0,+4.076,-0.460,LLLLLLLL,LLLL
195,2025-02-20,16:13:05,0,+4.072,-0.458,LLLLLLLL,LLLL
196,2025-02-20,16:13:06,0,+4.073,-0.458,LLLLLLLL,LLLL
197,2025-02-20,16:13:07,0,+4.073,-0.455,LLLLLLLL,LLLL
198,2025-02-20,16:13:08,0,+4.073,-0.457,LLLLLLLL,LLLL
199,2025-02-20,16:13:09,0,+4.074,-0.457,LLLLLLLL,LLLL
200,2025-02-20,16:13:10,0,+4.071,-0.458,LLLLLLLL,LLLL
201,2025-02-20,16:13:11,0,+4.072,-0.457,LLLLLLLL,LLLL
202,2025-02-20,16:13:12,0,+4.067,-0.460,LLLLLLLL,LLLL
203,2025-02-20,16:13:13,0,+4.070,-0.456,LLLLLLLL,LLLL
204,2025-02-20,16:13:14,0,+4.069,-0.456,LLLLLLLL,LLLL
205,2025-02-20,16:13:15,0,+4.066,-0.460,LLLLLLLL,LLLL
206,2025-02-20,16:13:16,0,+4.065,-0.458,LLLLLLLL,LLLL
207,2025-02-20,16:13:17,0,+4.065,-0.460,LLLLLLLL,LLLL
208,2025-02-20,16:13:18,0,+4.066,-0.459,LLLLLLLL,LLLL
209,2025-02-20,16:13:19,0,+4.064,-0.456,LLLLLLLL,LLLL
210,2025-02-20,16:13:20,0,+4.062,-0.456,LLLLLLLL,LLLL
211,2025-02-20,16:13:21,0,+4.064,-0.455,LLLLLLLL,LLLL
212,2025-02-20,16:13:22,0,+4.059,-0.459,LLLLLLLL,LLLL
213,2025-02-20,16:13:23,0,+4.061,-0.457,LLLLLLLL,LLLL
214,2025-02-20,16:13:24,0,+4.059,-0.460,LLLLLLLL,LLLL
215,2025-02-20,16:13:25,0,+4.059,-0.455,LLLLLLLL,LLLL
216,2025-02-20,16:13:26,0,+4.058,-0.457,LLLLLLLL,LLLL
217,2025-02-20,16:13:27,0,+4.058,-0.457,LLLLLLLL,LLLL
218,2025-02-20,16:13:28,0,+4.059,-0.456,LLLLLLLL,LLLL
219,2025-02-20,16:13:29,0,+4.058,-0.456,LLLLLLLL,LLLL
220,2025-02-20,16:13:30,0,+4.057,-0.460,LLLLLLLL,LLLL
221,2025-02-20,16:13:31,0,+4.056,-0.457,LLLLLLLL,LLLL
222,2025-02-20,16:13:32,0,+4.054,-0.457,LLLLLLLL,LLLL
223,2025-02-20,16:13:33,0,+4.052,-0.456,LLLLLLLL,LLLL
224,2025-02-20,16:13:34,0,+4.055,-0.457,LLLLLLLL,LLLL
225,2025-02-20,16:13:35,0,+4.053,-0.457,LLLLLLLL,LLLL
226,2025-02-20,16:13:36,0,+4.051,-0.455,LLLLLLLL,LLLL
227,2025-02-20,16:13:37,0,+4.050,-0.456,LLLLLLLL,LLLL
228,2025-02-20,16:13:38,0,+4.051,-0.458,LLLLLLLL,LLLL
229,2025-02-20,16:13:39,0,+4.052,-0.460,LLLLLLLL,LLLL
230,2025-02-20,16:13:40,0,+4.049,-0.458,LLLLLLLL,LLLL
231,2025-02-20,16:13:41,0,+4.048,-0.455,LLLLLLLL,LLLL
232,2025-02-20,16:13:42,0,+4.051,-0.456,LLLLLLLL,LLLL
233,2025-02-20,16:13:43,0,+4.048,-0.456,LLLLLLLL,LLLL
234,2025-02-20,16:13:44,0,+4.047,-0.458,LLLLLLLL,LLLL
235,2025-02-20,16:13:45,0,+4.046,-0.456,LLLLLLLL,LLLL
236,2025-02-20,16:13:46,0,+4.045,-0.456,LLLLLLLL,LLLL
237,2025-02-20,16:13:47,0,+4.045,-0.458,LLLLLLLL,LLLL
238,2025-02-20,16:13:48,0,+4.046,-0.456,LLLLLLLL,LLLL
239,2025-02-20,16:13:49,0,+4.042,-0.458,LLLLLLLL,LLLL
240,2025-02-20,16:13:50,0,+4.045,-0.459,LLLLLLLL,LLLL
241,2025-02-20,16:13:51,0,+4.045,-0.457,LLLLLLLL,LLLL
242,2025-02-20,16:13:52,0,+4.045,-0.457,LLLLLLLL,LLLL
243,2025-02-20,16:13:53,0,+4.042,-0.456,LLLLLLLL,LLLL
244,2025-02-20,16:13:54,0,+4.041,-0.457,LLLLLLLL,LLLL
245,2025-02-20,16:13:55,0,+4.042,-0.458,LLLLLLLL,LLLL
246,2025-02-20,16:13:56,0,+4.042,-0.458,LLLLLLLL,LLLL
247,2025-02-20,16:13:57,0,+4.037,-0.458,LLLLLLLL,LLLL
248,2025-02-20,16:13:58,0,+4.040,-0.457,LLLLLLLL,LLLL
249,2025-02-20,16:13:59,0,+4.039,-0.457,LLLLLLLL,LLLL
250,2025-02-20,16:14:00,0,+4.037,-0.457,LLLLLLLL,LLLL
251,2025-02-20,16:14:01,0,+4.036,-0.456,LLLLLLLL,LLLL
252,2025-02-20,16:14:02,0,+4.038,-0.457,LLLLLLLL,LLLL
253,2025-02-20,16:14:03,0,+4.040,-0.456,LLLLLLLL,LLLL
254,2025-02-20,16:14:04,0,+4.037,-0.456,LLLLLLLL,LLLL
255,2025-02-20,16:14:05,0,+4.038,-0.457,LLLLLLLL,LLLL
256,2025-02-20,16:14:06,0,+4.037,-0.457,LLLLLLLL,LLLL
257,2025-02-20,16:14:07,0,+4.037,-0.456,LLLLLLLL,LLLL
258,2025-02-20,16:14:08,0,+4.035,-0.458,LLLLLLLL,LLLL
259,2025-02-20,16:14:09,0,+4.036,-0.456,LLLLLLLL,LLLL
260,2025-02-20,16:14:10,0,+4.037,-0.456,LLLLLLLL,LLLL
261,2025-02-20,16:14:11,0,+4.033,-0.459,LLLLLLLL,LLLL
262,2025-02-20,16:14:12,0,+4.037,-0.458,LLLLLLLL,LLLL
263,2025-02-20,16:14:13,0,+4.030,-0.458,LLLLLLLL,LLLL
264,2025-02-20,16:14:14,0,+4.032,-0.456,LLLLLLLL,LLLL
265,2025-02-20,16:14:15,0,+4.029,-0.459,LLLLLLLL,LLLL
266,2025-02-20,16:14:16,0,+4.029,-0.458,LLLLLLLL,LLLL
267,2025-02-20,16:14:17,0,+4.030,-0.458,LLLLLLLL,LLLL
268,2025-02-20,16:14:18,0,+4.030,-0.457,LLLLLLLL,LLLL
269,2025-02-20,16:14:19,0,+4.029,-0.455,LLLLLLLL,LLLL
270,2025-02-20,16:14:20,0,+4.029,-0.458,LLLLLLLL,LLLL
271,2025-02-20,16:14:21,0,+4.027,-0.457,LLLLLLLL,LLLL
272,2025-02-20,16:14:22,0,+4.030,-0.456,LLLLLLLL,LLLL
273,2025-02-20,16:14:23,0,+4.029,-0.457,LLLLLLLL,LLLL
274,2025-02-20,16:14:24,0,+4.029,-0.458,LLLLLLLL,LLLL
275,2025-02-20,16:14:25,0,+4.029,-0.455,LLLLLLLL,LLLL
276,2025-02-20,16:14:26,0,+4.030,-0.457,LLLLLLLL,LLLL
277,2025-02-20,16:14:27,0,+4.026,-0.457,LLLLLLLL,LLLL
278,2025-02-20,16:14:28,0,+4.027,-0.458,LLLLLLLL,LLLL
279,2025-02-20,16:14:29,0,+4.027,-0.458,LLLLLLLL,LLLL
280,2025-02-20,16:14:30,0,+4.027,-0.459,LLLLLLLL,LLLL
281,2025-02-20,16:14:31,0,+4.026,-0.457,LLLLLLLL,LLLL
282,2025-02-20,16:14:32,0,+4.027,-0.456,LLLLLLLL,LLLL
283,2025-02-20,16:14:33,0,+4.024,-0.458,LLLLLLLL,LLLL
284,2025-02-20,16:14:34,0,+4.026,-0.460,LLLLLLLL,LLLL
285,2025-02-20,16:14:35,0,+4.025,-0.457,LLLLLLLL,LLLL
286,2025-02-20,16:14:36,0,+4.024,-0.456,LLLLLLLL,LLLL
287,2025-02-20,16:14:37,0,+4.023,-0.458,LLLLLLLL,LLLL
288,2025-02-20,16:14:38,0,+4.026,-0.455,LLLLLLLL,LLLL
289,2025-02-20,16:14:39,0,+4.021,-0.456,LLLLLLLL,LLLL
290,2025-02-20,16:14:40,0,+4.023,-0.458,LLLLLLLL,LLLL
291,2025-02-20,16:14:41,0,+4.021,-0.456,LLLLLLLL,LLLL
292,2025-02-20,16:14:42,0,+4.021,-0.456,LLLLLLLL,LLLL
293,2025-02-20,16:14:43,0,+4.022,-0.458,LLLLLLLL,LLLL
294,2025-02-20,16:14:44,0,+4.023,-0.456,LLLLLLLL,LLLL
295,2025-02-20,16:14:45,0,+4.022,-0.458,LLLLLLLL,LLLL
296,2025-02-20,16:14:46,0,+4.022,-0.456,LLLLLLLL,LLLL
297,2025-02-20,16:14:47,0,+4.019,-0.458,LLLLLLLL,LLLL
298,2025-02-20,16:14:48,0,+4.019,-0.453,LLLLLLLL,LLLL
299,2025-02-20,16:14:49,0,+4.022,-0.458,LLLLLLLL,LLLL
300,2025-02-20,16:14:50,0,+4.021,-0.456,LLLLLLLL,LLLL
301,2025-02-20,16:14:51,0,+4.021,-0.456,LLLLLLLL,LLLL
302,2025-02-20,16:14:52,0,+4.017,-0.458,LLLLLLLL,LLLL
303,2025-02-20,16:14:53,0,+4.017,-0.458,LLLLLLLL,LLLL
304,2025-02-20,16:14:54,0,+4.019,-0.457,LLLLLLLL,LLLL
305,2025-02-20,16:14:55,0,+4.016,-0.457,LLLLLLLL,LLLL
306,2025-02-20,16:14:56,0,+4.017,-0.459,LLLLLLLL,LLLL
307,2025-02-20,16:14:57,0,+4.016,-0.459,LLLLLLLL,LLLL
308,2025-02-20,16:14:58,0,+4.018,-0.454,LLLLLLLL,LLLL
309,2025-02-20,16:14:59,0,+4.018,-0.460,LLLLLLLL,LLLL
310,2025-02-20,16:15:00,0,+4.014,-0.458,LLLLLLLL,LLLL
311,2025-02-20,16:15:01,0,+4.013,-0.455,LLLLLLLL,LLLL
312,2025-02-20,16:15:02,0,+4.016,-0.456,LLLLLLLL,LLLL
313,2025-02-20,16:15:03,0,+4.015,-0.454,LLLLLLLL,LLLL
314,2025-02-20,16:15:04,0,+4.014,-0.457,LLLLLLLL,LLLL
315,2025-02-20,16:15:05,0,+4.014,-0.456,LLLLLLLL,LLLL
316,2025-02-20,16:15:06,0,+4.013,-0.458,LLLLLLLL,LLLL
317,2025-02-20,16:15:07,0,+4.013,-0.456,LLLLLLLL,LLLL
318,2025-02-20,16:15:08,0,+4.013,-0.457,LLLLLLLL,LLLL
319,2025-02-20,16:15:09,0,+4.013,-0.457,LLLLLLLL,LLLL
320,2025-02-20,16:15:10,0,+4.013,-0.456,LLLLLLLL,LLLL
321,2025-02-20,16:15:11,0,+4.013,-0.457,LLLLLLLL,LLLL
322,2025-02-20,16:15:12,0,+4.013,-0.458,LLLLLLLL,LLLL
323,2025-02-20,16:15:13,0,+4.013,-0.458,LLLLLLLL,LLLL
324,2025-02-20,16:15:14,0,+4.013,-0.456,LLLLLLLL,LLLL
325,2025-02-20,16:15:15,0,+4.011,-0.457,LLLLLLLL,LLLL
326,2025-02-20,16:15:16,0,+4.011,-0.456,LLLLLLLL,LLLL
327,2025-02-20,16:15:17,0,+4.012,-0.456,LLLLLLLL,LLLL
328,2025-02-20,16:15:18,0,+4.011,-0.456,LLLLLLLL,LLLL
329,2025-02-20,16:15:19,0,+4.010,-0.459,LLLLLLLL,LLLL
330,2025-02-20,16:15:20,0,+4.008,-0.460,LLLLLLLL,LLLL
331,2025-02-20,16:15:21,0,+4.008,-0.458,LLLLLLLL,LLLL
